"artist_name","artist_id","danceability","energy","valence","tempo","loudness","mode","key","acousticness"
"Tom Waits","615119","2.1017","0.634354","1.29627","-0.768989","2.19004","0.105152","0.955751","-0.683021"
"Madonna","1482685","-0.545297","0.941832","0.0623466","-0.946125","2.70919","-0.468414","1.47671","0.169032"
"John Mayer","239827","-0.174626","-0.018505","0.557088","-0.674509","1.30377","1.20276","2.08715","0.0362584"
"Chris Brown","266063","-1.45743","-0.0029277","-0.234642","0.568181","2.67072","0.0973854","1.83795","-2.27185"
"Alan Jackson","605375","-0.188494","0.976659","0.368526","-1.18509","0.77183","0.625542","2.07538","-0.182484"
"Carmen Miranda","181694","2.66579","3.24252","2.0545","-0.113148","0.598853","-1.20751","1.51736","-0.259171"
"Chicago","110161","-0.00143806","-0.128874","0.950753","-1.46325","2.08804","-0.581821","1.27384","-0.232473"
"Joni Mitchell","270491","2.27184","0.693739","1.03908","-0.996244","1.76089","0.567539","1.16544","-0.620269"
"Bob Seger","72041","-1.19127","-0.524764","1.73366","-0.564909","0.288521","0.486332","2.51207","0.371828"
"Phil Collins","337119","-0.105148","-0.0147645","0.617087","-0.997764","1.35181","0.404706","1.85689","0.024847"
"Brian Eno","617196","4.47745","-1.62559","0.161742","-1.23728","2.0515","-0.560951","1.08888","0.0309968"
"Frank Zappa","138699","0.289112","-0.42276","1.85185","-0.064386","0.0850805","0.0469099","2.49353","0.591436"
"Los Bukis","833631","-0.0823509","1.38452","0.607562","-0.725132","0.733016","0.361657","2.11536","0.112068"
"Antonio Aguilar","783909","0.157464","1.63165","1.44898","-1.08587","0.555469","-0.135763","1.60432","-0.691199"
"blink-182","757342","-1.93833","-0.783922","1.49406","-1.10021","-0.310378","1.05722","2.47064","-0.0532184"
"Van Halen","260206","-0.871511","-0.50615","0.832563","-1.22065","0.391066","0.525348","2.15822","0.0661248"
"Lefty Frizzell","190946","2.18339","2.57242","1.3049","-1.12429","0.485881","-0.381377","1.4995","-0.484202"
"Black Sabbath","771438","0.458648","-1.44656","0.678987","-1.18153","0.0698125","0.285689","2.412","0.470453"
"Chuck Berry","120521","0.523026","1.9948","1.45473","-1.24129","1.43137","-1.1582","1.0206","-0.612454"
"The Dave Brubeck Quartet","142767","3.15132","0.120736","-0.130831","0.877659","0.692938","-1.30681","2.54844","-1.2612"
"Linda Ronstadt","686897","1.84929","0.63677","1.01035","-1.72061","1.73127","0.0653565","0.77565","-0.981222"
"Yes","685647","0.462266","-1.36455","0.601784","-0.381824","0.556669","0.228099","2.65272","1.21576"
"Simon & Garfunkel","38936","1.69562","0.360065","1.43851","-1.1426","1.49815","0.612158","0.931162","-0.876871"
"Kenny Chesney","68551","-0.883296","0.263817","0.303305","-1.08959","0.884326","0.708947","1.9524","-0.0363588"
"Luis Miguel","311680","-0.330784","-0.0806667","0.759221","-1.60722","2.24798","0.228123","0.884227","-0.700849"
"Barbra Streisand","855531","2.53783","-0.322857","1.19037","-0.899906","0.0894763","1.7443","1.76561","-0.443099"
"The Temptations","569685","0.409422","1.46864","0.999964","-1.20966","1.82592","-0.769585","1.11659","-0.261517"
"Linkin Park","289599","-1.94869","-0.503621","1.07049","-0.553587","0.6413","1.26319","2.11414","0.0719764"
"Jimi Hendrix","354105","-0.389985","-0.747542","1.28675","-0.628227","0.397656","0.431898","2.08823","0.260205"
"ZZ Top","690254","-0.619346","0.522301","0.792193","-0.867361","0.526831","0.00332451","2.08628","0.277155"
"Maria Callas","740576","4.62466","-0.419805","1.99726","-1.16384","1.15517","0.864447","0.777012","-0.835672"
"Alabama","936206","0.578765","0.517044","0.760822","-0.813158","0.646772","0.591652","1.95938","0.119641"
"BeyoncÃ©","761179","-0.969111","-0.202526","1.02872","-0.421547","2.45617","0.468529","0.911643","-0.502124"
"AntÃ´nio Carlos Jobim","781837","2.79515","0.456404","0.571994","-1.3022","1.27007","-0.117207","0.964697","-0.667711"
"The Band","38490","0.161023","0.555524","1.59314","-0.849547","1.93204","-0.664227","1.10164","-0.131647"
"Def Leppard","193320","-1.18273","-0.859605","1.13122","-1.1389","1.74073","-0.426487","1.47592","0.239279"
"JosÃ© Alfredo JimÃ©nez","267411","1.70227","1.25467","1.87745","-1.28878","1.40008","-0.25137","0.638712","-1.06799"
"Harry Belafonte","952794","2.52618","1.16412","2.16722","0.0889844","0.593807","0.263143","1.2886","-0.380887"
"Steely Dan","11707","0.211682","1.4104","0.125464","-0.767441","1.87305","-0.374807","1.39008","0.215525"
"James Brown","128099","0.201744","1.45812","1.00218","0.0124245","2.34211","-0.802229","1.14542","0.315109"
"The Ventures","921965","1.49857","0.964554","1.01237","-1.03978","-1.02035","-1.33525","2.27802","0.40224"
"Paul Simon","31685","1.47799","1.0759","0.404346","-0.824722","1.0815","0.680591","1.3815","-0.248796"
"Charlie Chaplin","205627","3.752","-0.615423","2.30066","-0.187717","-0.0736376","-0.626227","1.64088","0.256353"
"Dinah Washington","260038","2.99572","0.601095","1.65021","-1.28945","1.55595","0.17798","0.565429","-0.910079"
"Mariah Carey","262255","-0.178113","0.0162218","0.321974","-0.882446","0.950095","1.09425","1.712","-0.0750758"
"Rihanna","367188","-1.49604","0.153757","0.291332","-1.01519","2.4752","0.526977","0.920687","-0.454473"
"Daryl Hall & John Oates","674887","-0.310847","1.70037","0.217498","-0.828846","0.933789","-0.407382","1.75516","0.248736"
"Iron Maiden","98465","-1.02715","-2.568","0.988207","0.204431","0.993273","-0.895772","2.30304","-1.42728"
"The Monkees","478603","0.0299567","1.08688","1.35699","-1.01372","-0.392082","0.422486","2.00748","-0.0891733"
"Lana Del Rey","2784799","0.164948","-1.40636","-0.344846","-0.266229","2.21917","0.57717","1.31312","-2.59948"
"Charlie Parker","211758","1.96496","0.956373","1.71824","-0.73942","0.265864","-0.326692","1.4124","-0.205672"
"Radiohead","326249","0.61662","-1.46619","0.0416463","-1.2565","0.796784","0.943566","1.62371","-0.0241086"
"Townes Van Zandt","744796","2.59557","1.03152","1.58121","-0.486772","0.880076","0.475722","1.10565","-0.511461"
"Ray Charles","46861","2.11306","1.03015","1.32811","-0.704231","0.554405","0.283543","1.2655","-0.421846"
"Wes Montgomery","248392","3.23304","0.250891","0.120139","0.608782","1.42009","-2.04856","1.62971","-1.65895"
"Erroll Garner","206967","3.90106","-0.654297","2.24139","0.081068","0.103573","-1.27698","1.58055","0.498943"
"George Harrison","209142","0.342078","0.177919","0.645683","-1.17813","1.05572","-0.0221901","1.39109","-0.051343"
"Little Richard","824022","0.210527","1.68308","1.6237","-1.1712","1.38837","-0.883171","0.776426","-0.585319"
"Donovan","799053","1.79603","1.06061","0.935078","-1.32501","1.5586","-0.416163","0.651789","-0.644966"
"Donovan","1276114","1.79603","1.06061","0.935078","-1.32501","1.5586","-0.416163","0.651789","-0.644966"
"Lynyrd Skynyrd","170369","-0.420413","-0.370138","1.25846","-0.432538","0.550674","-0.0516711","2.02607","0.630924"
"Ennio Morricone","798662","3.84259","-1.65889","0.598106","-1.76372","1.11607","0.342371","0.570332","-0.718331"
"One Direction","2766592","-2.12026","-0.000511975","0.261158","-1.46754","1.98816","0.455341","0.979036","-0.522792"
"Jack Johnson","120010","0.226581","1.5025","0.305434","-0.805866","2.35534","0.223074","0.599752","-0.615204"
"Fall Out Boy","170879","-2.43926","-0.498221","1.34502","-1.29759","1.57192","-0.188247","1.09744","-0.395992"
"Martin Denny","311074","2.49315","0.742247","1.15068","-1.27702","-0.453847","-0.127439","1.50613","-0.387057"
"Muddy Waters","608701","0.977843","0.949608","1.68156","-0.730083","1.19334","-0.337507","0.986362","-0.366072"
"Jack Johnson","1416172","0.226581","1.5025","0.305434","-0.805866","2.35534","0.223074","0.599752","-0.615204"
"Earth, Wind & Fire","135273","-0.092485","0.651987","0.637962","-0.277884","0.18083","0.221859","2.19441","0.707193"
"Duran Duran","128440","-1.05965","0.294541","0.471734","-0.525034","0.226235","0.248314","2.19659","0.643957"
"Supertramp","33666","0.72048","-0.53343","0.824623","-0.490352","1.31188","0.710173","1.44053","0.281185"
"Merle Haggard","410219","1.10045","1.69006","0.732638","-0.898091","1.40718","0.0275745","0.878458","-0.407892"
"Slipknot","750742","-1.87989","-2.08658","1.60969","-0.530457","0.899566","1.20493","1.49661","-0.0174493"
"Sonny Boy Williamson I","1006782","3.58362","2.65843","1.72263","0.0023036","-0.308009","0.0722239","1.39922","-0.153985"
"Lady Gaga","994823","-1.82815","0.186696","0.594431","-0.872875","2.53636","0.138745","0.748623","-0.243425"
"Bad Religion","62823","-2.18731","-0.698355","1.90849","-1.83135","-0.861971","0.232715","1.73724","-0.580723"
"The Animals","751019","-0.255","0.672395","1.24678","-1.2514","0.369119","-0.319377","1.43583","-0.0715068"
"REO Speedwagon","327735","-0.782042","-0.170965","1.31845","-1.34876","1.63128","-0.993584","0.948269","0.0141084"
"Roy Orbison","852007","1.00613","0.993466","1.01001","-1.12503","-0.376114","1.0546","1.58429","-0.369724"
"The Doobie Brothers","136871","0.0612399","1.39833","0.17019","-0.93451","0.1835","-0.242019","1.73475","0.257988"
"Little Feat","313284","0.090261","0.235483","1.86651","-0.229433","0.149433","-0.168228","1.78834","0.405815"
"Ozzy Osbourne","424244","-1.11196","-1.62081","1.54974","-1.09885","1.85638","-0.0853338","0.931042","-0.0232316"
"Hank Williams","549797","1.80186","1.9485","0.955872","-1.19806","0.447531","0.0724258","0.879853","-0.844758"
"Jethro Tull","850692","0.542434","0.148359","0.770637","-0.768907","0.65178","-0.38993","1.48651","0.298094"
"Rod Stewart","293896","0.265414","0.139853","0.333307","-1.09514","1.58078","-0.185823","0.971983","-0.0537091"
"Pearl Jam","37730","-0.865551","-1.17914","0.471021","-1.35989","0.526152","0.762674","1.49906","-0.0913298"
"Bad Company","75100","-0.0173105","0.472357","0.484337","-0.86356","0.323352","-0.0295913","1.76439","0.441303"
"Bill Withers","78044","0.697202","1.14128","0.404743","-0.312123","1.31671","0.125631","1.19672","0.159242"
"Curtis Mayfield","144458","-0.0542059","0.71365","0.0322067","0.883176","1.68647","-1.34743","1.62248","-1.51047"
"Dave Matthews Band","961234","-0.426223","-0.332718","0.716527","-0.464438","2.00754","-0.0866744","1.19464","0.535556"
"Johnny Mathis","246885","2.74665","-0.411603","1.32525","-1.55471","0.372588","1.15132","0.837635","-0.734498"
"The Velvet Underground","840402","0.906485","0.0392745","0.572396","-1.03665","1.4062","-0.34374","0.977927","0.0579343"
"Megadeth","406294","-1.57029","-2.06397","0.981616","-0.810624","-0.60413","0.305001","2.10296","0.403193"
"Anita O'Day","479028","2.78892","1.42698","1.28853","-0.804202","-0.294748","0.491713","1.19072","-0.500526"
"Mina","492521","2.03915","1.40791","1.93","-1.4619","0.89434","-0.700808","0.452772","-0.716558"
"Carpenters","51909","2.02694","0.0278678","0.379501","-1.18775","-0.160705","1.62254","1.31872","-0.516627"
"Guns N' Roses","540883","-1.12122","-1.84134","1.11131","-0.559434","0.420134","0.589722","1.70405","0.42781"
"Misfits","891063","-0.841699","-1.35695","1.51592","-1.61525","-1.23738","0.77754","1.70927","-0.544918"
"MÃ¶tley CrÃ¼e","500992","-1.42434","-0.819356","1.02858","-1.31007","1.92938","-0.414505","0.669346","-0.145139"
"John Lennon","232564","0.117682","0.268039","0.49423","-0.656773","-0.0276916","0.731259","1.6763","0.166757"
"Slayer","22124","-1.18251","-2.29334","0.964698","-0.988674","0.356641","1.06128","1.45845","0.137304"
"Sly & the Family Stone","33161","0.114459","1.42049","1.00243","-0.345527","1.79412","-1.05557","0.751202","0.169138"
"Gordon Lightfoot","667794","1.86435","1.17931","0.425703","-0.986595","0.891804","0.536015","0.852499","-0.35096"
"Korn","112789","-1.18209","-1.10718","0.672592","-0.284056","0.498221","1.1367","1.75006","0.57275"
"Stan Kenton","743929","3.20733","-0.0647054","0.981655","-1.07584","-0.676193","0.023389","1.42549","0.060193"
"Andy Williams","38466","2.69593","0.051258","1.49582","-1.71155","1.28167","0.539379","0.0251742","-1.17736"
"Miles Davis Quintet","424302","1.88005","0.0362535","0.597585","-0.280301","0.972172","0.117081","1.33207","0.610923"
"Los Panchos","354189","1.64944","2.1984","0.828932","-0.436729","-0.380469","0.823095","1.44863","-0.175226"
"Herbie Hancock","957296","1.45046","-0.691212","-1.26814","1.09985","1.01152","-1.56061","2.34582","-0.380757"
"Tony Bennett","6334","2.73955","0.494032","1.44334","-1.46691","1.30766","0.429378","0.018933","-1.11644"
"AndrÃ© Previn","30250","4.26141","-0.33959","1.18375","-0.994487","1.1319","-0.768689","0.296097","-0.344824"
"Bread","610706","1.19111","0.696079","0.448349","-1.24477","0.0219958","0.733992","1.14803","-0.461127"
"Justin Bieber","2165952","-1.4119","0.488602","0.135518","-0.886186","2.45423","0.417613","0.317486","-0.545992"
"Alice Cooper","5953","-0.000534369","-0.531959","1.08505","-0.682539","-0.253438","0.547183","1.69308","0.274744"
"Paul McCartney","29884","0.482334","0.474908","0.585438","-0.530114","-0.147824","0.62133","1.6146","0.212957"
"Dave Brubeck","958533","3.55725","0.149386","0.775399","0.0105968","0.518649","-0.558038","1.24217","0.61619"
"David Allan Coe","629609","0.787979","1.12479","0.761701","-0.648825","0.133025","0.515892","1.25842","-0.0608508"
"Herb Alpert & the Tijuana Brass","955773","1.65401","0.889079","0.331883","-0.770461","0.0710425","-1.18264","1.13344","0.173443"
"Daft Punk","667669","0.213817","-0.768495","-0.0721943","-0.379318","2.02388","-0.639173","0.661185","0.332554"
"Ariana Grande","2264745","-1.34254","0.0939734","0.224435","-0.682071","2.40486","0.952402","0.31366","-0.523301"
"Smashing Pumpkins","36521","0.708588","-1.88065","-0.412268","-1.0627","0.162067","0.0378576","1.6068","0.682799"
"Flatt & Scruggs","227527","1.19191","1.62108","1.27005","-0.911319","-0.963276","-0.738901","1.52696","0.0922392"
"Scorpions","299471","-0.265732","-1.55519","0.0792493","0.477722","-0.254659","-0.00466762","2.33957","-1.34595"
"Modest Mouse","480086","-0.72606","-0.360845","0.606092","-0.860114","0.289335","0.170532","1.42869","0.240677"
"Styx","923033","0.598396","-0.651289","0.691869","-1.44087","1.1442","-0.109064","0.667688","-0.264145"
"Thin Lizzy","590479","0.184555","-0.143014","1.41167","-0.841676","1.15627","-1.05234","0.725074","0.0681834"
"Al Green","607448","0.569793","1.72842","0.0441883","-0.780308","1.93746","-0.354492","0.438187","-0.131327"
"Coldplay","775877","-0.47292","-1.65306","-0.284942","-1.07222","-0.0552553","1.77699","1.65977","0.0786733"
"Emmylou Harris","159699","1.15895","0.609701","0.44444","-0.818446","-0.518034","1.09744","1.50568","-0.0760003"
